Store_ID,Date,Month Index,Store Size,Marketing Strategy,Average Order Values (Tsh),Post Campaign Period,Sales Revenue (Tsh)
1,2023-01-01,1,Small,Pilot Launch Regions,31398,0,1038101.5831558601
1,2023-02-01,2,Small,Pilot Launch Regions,31398,0,859521.3395214358
1,2023-03-01,3,Small,Pilot Launch Regions,31398,0,921424.44198711
1,2023-04-01,4,Small,Pilot Launch Regions,31398,0,899762.8711775944
1,2023-05-01,5,Small,Pilot Launch Regions,31398,0,1072438.5435407571
1,2023-06-01,6,Small,Pilot Launch Regions,31398,0,915284.6720791959
1,2023-07-01,7,Small,Pilot Launch Regions,31398,0,896384.6238956924
1,2023-08-01,8,Small,Pilot Launch Regions,31398,0,915077.5928450247
1,2023-09-01,9,Small,Pilot Launch Regions,31398,0,959142.6094145414
1,2023-10-01,10,Small,Pilot Launch Regions,31398,0,917859.3445483467
1,2023-11-01,11,Small,Pilot Launch Regions,31398,0,965524.0008730643
1,2023-12-01,12,Small,Pilot Launch Regions,31398,0,1022576.1484077662
1,2024-01-01,13,Small,Pilot Launch Regions,31398,0,1015762.1272061014
1,2024-02-01,14,Small,Pilot Launch Regions,31398,0,1105196.940195912
1,2024-03-01,15,Small,Pilot Launch Regions,31398,0,1024451.5937748178
1,2024-04-01,16,Small,Pilot Launch Regions,31398,0,1042290.9335996374
1,2024-05-01,17,Small,Pilot Launch Regions,31398,0,1086684.939899381
1,2024-06-01,18,Small,Pilot Launch Regions,31398,0,1249584.528480845
1,2024-07-01,19,Small,Pilot Launch Regions,31398,0,1011991.8471712903
1,2024-08-01,20,Small,Pilot Launch Regions,31398,1,1306497.151931681
1,2024-09-01,21,Small,Pilot Launch Regions,31398,1,1216604.4564008373
1,2024-10-01,22,Small,Pilot Launch Regions,31398,1,1231119.0062336656
1,2024-11-01,23,Small,Pilot Launch Regions,31398,1,1236249.072566678
1,2024-12-01,24,Small,Pilot Launch Regions,31398,1,1297612.3309740957
1,2025-01-01,25,Small,Pilot Launch Regions,31398,1,1298940.1961872324
1,2025-02-01,26,Small,Pilot Launch Regions,31398,1,1455390.3753517226
1,2025-03-01,27,Small,Pilot Launch Regions,31398,1,1314966.6366120311
1,2025-04-01,28,Small,Pilot Launch Regions,31398,1,1446635.152573054
1,2025-05-01,29,Small,Pilot Launch Regions,31398,1,1651000.493209726
1,2025-06-01,30,Small,Pilot Launch Regions,31398,1,1403684.1515440284
2,2023-01-01,1,Medium,Business-as-Usual (BAU) Regions,33650,0,1232525.4505121617
2,2023-02-01,2,Medium,Business-as-Usual (BAU) Regions,33650,0,1292758.8574686472
2,2023-03-01,3,Medium,Business-as-Usual (BAU) Regions,33650,0,1278627.0832267844
2,2023-04-01,4,Medium,Business-as-Usual (BAU) Regions,33650,0,1321261.277464075
2,2023-05-01,5,Medium,Business-as-Usual (BAU) Regions,33650,0,1162247.8114811452
2,2023-06-01,6,Medium,Business-as-Usual (BAU) Regions,33650,0,1266342.6353601064
2,2023-07-01,7,Medium,Business-as-Usual (BAU) Regions,33650,0,1293497.41827425
2,2023-08-01,8,Medium,Business-as-Usual (BAU) Regions,33650,0,1298704.3197804666
2,2023-09-01,9,Medium,Business-as-Usual (BAU) Regions,33650,0,1360961.3934906765
2,2023-10-01,10,Medium,Business-as-Usual (BAU) Regions,33650,0,1317090.957544081
2,2023-11-01,11,Medium,Business-as-Usual (BAU) Regions,33650,0,1203404.1183942878
2,2023-12-01,12,Medium,Business-as-Usual (BAU) Regions,33650,0,1357305.2893542384
2,2024-01-01,13,Medium,Business-as-Usual (BAU) Regions,33650,0,1254353.7073216373
2,2024-02-01,14,Medium,Business-as-Usual (BAU) Regions,33650,0,1282710.0101661258
2,2024-03-01,15,Medium,Business-as-Usual (BAU) Regions,33650,0,1316519.2895031655
2,2024-04-01,16,Medium,Business-as-Usual (BAU) Regions,33650,0,1349746.7519113172
2,2024-05-01,17,Medium,Business-as-Usual (BAU) Regions,33650,0,1241501.9677846483
2,2024-06-01,18,Medium,Business-as-Usual (BAU) Regions,33650,0,1459351.4752161342
2,2024-07-01,19,Medium,Business-as-Usual (BAU) Regions,33650,0,1282558.7271928412
2,2024-08-01,20,Medium,Business-as-Usual (BAU) Regions,33650,1,1506948.5957252637
2,2024-09-01,21,Medium,Business-as-Usual (BAU) Regions,33650,1,1300003.8609733714
2,2024-10-01,22,Medium,Business-as-Usual (BAU) Regions,33650,1,1503893.3763872916
2,2024-11-01,23,Medium,Business-as-Usual (BAU) Regions,33650,1,1412726.2833920748
2,2024-12-01,24,Medium,Business-as-Usual (BAU) Regions,33650,1,1292686.0443244823
2,2025-01-01,25,Medium,Business-as-Usual (BAU) Regions,33650,1,1361563.088511772
2,2025-02-01,26,Medium,Business-as-Usual (BAU) Regions,33650,1,1564777.9875033684
2,2025-03-01,27,Medium,Business-as-Usual (BAU) Regions,33650,1,1505891.8939241604
2,2025-04-01,28,Medium,Business-as-Usual (BAU) Regions,33650,1,1472361.71934442
